Exodus 6:4|לכם לא נאמר אלא להם מכאן לתחיית המתים מן התורה|סנהדרין צ:.
Exodus 6:6|נאמר כאן סבלות מצרים, ועל יוסף נאמר "הסירותי מסבל שכמו" (תהלים פא, ז), כמו שיוסף יצא מבית האסורים בראש השנה כך יצאנו ממצרים בראש השנה|ראש השנה יא:
Exodus 6:7|נאמר ולקחתי אתכם ונאמר "והבאתי אתכם" (ח), מקיש יציאת מצרים לכניסת הארץ מה כניסתם לארץ נכנסו שנים מששים ריבוא [יהושע וכלב] אף ביציאת מצרים יצאו שנים משישים ריבוא|סנהדרין קיא.
Exodus 6:7|ר' נחמיה סובר שמברכים מוציא לחם מן הארץ, משום שהמוציא זהו לשון הווה שנאמר המוציא אתכם|ברכות לח.
Exodus 6:8|ראה פס' ז'|סנהדרין קיא.
Exodus 6:8|נאמר לכם, מכאן שחלוקת הארץ היא באחוזים לפי יוצאי מצרים ולא לפי השבטים|בבא בתרא קיז: שם קיט:
Exodus 6:20|נאמר דודתו, אולי משמע דודתו מן האם, ומותר לשאת את אחות האם. לא, הכוונה לדודתו מן האב|סנהדרין נח:
Exodus 6:20|נאמר באחשוורוש שמלך על "שבע ועשרים ומאה מדינה" (אסתר א, א) ולומדים שבתחילה מלך על שבע ולבסוף מלך על עשרים ולבסוף מלך על מאה. ומקשים, נאמר בעמרם שבע ושלשים ומאת שנה, אך לא לומדים משם דרשה|מגילה יא.
Exodus 6:23|הנושא אשה צריך שיבדוק באחיה שנאמר אחות נחשון|בבא בתרא קי.
Exodus 6:25|נאמר מבנות פוטיאל, מכאן שפנחס יצא מיתרו שפיטם עגלים לעבודת כוכבים, ומיוסף שפיטפט ביצרו [כבש אותו]|סוטה מג. בבא בתרא קט:
Exodus 6:27|נאמר הוא אהרן ומשה, הן בצדקן מתחילתן ועד סופן|מגילה יא.
Exodus 7:4|ניתן למחוק את השם 'צבאות' שלא נקרא אלא על שם ישראל שנאמר את צבאותי את עמי בני ישראל|שבועות לה:
Exodus 7:11|בלהטיהם אלו מעשה כשפים|סנהדרין סז:
Exodus 7:12|נס בתוך נס, לאחר שחזר ונעשה מטה בלע את המטות, ולא כשהוא תנין|שבת צז.
Exodus 7:15|אמר ר"ל מלך הוא והסבר לו פנים ורבי יוחנן אמר רשע הוא והעז פניך בו|זבחים קב.
Exodus 7:15|פרעה היה אמגושי|מועד קטן יח:
Exodus 7:21|הנודר לא לאכול דגה אסור בדגים קטנים וחייב בגדולים. אך קשה, הרי כתוב והדגה אשר ביאור מתה והכוונה גם לגדולים וגם לקטנים|נדרים נא:
Exodus 7:22|בלטיהם אלו מעשה שדים|סנהדרין סז:
Exodus 7:28|מה ראו חנניה מישאל ועזריה שמסרו עצמם על קדושת השם לכבשן האש? קל וחומר מצפרדעים, מה צפרדעים שאין מצווין על קדושת השם, נאמר בהם ובאו ... ובתנוריך ובמשארותיך. אימתי משארות [חתיכות בצק] מצויות אצל תנור? הוי אומר בשעה שהתנור חם. אנו, שמצווין על קדושת השם, על אחת כמה וכמה|פסחים נג:
Exodus 7:29|פרעה התנכל לישראל ראשון — לכן נענש ראשון מכל עמו, שנאמר ובכה ובעמך ובכל עבדיך יעלו הצפרדעים|סוטה יא.
Exodus 8:2|נאמר ותעל הצפרדע מכאן שצפרדע אחת היתה בתחילה, השריצה ומלאה כל ארץ מצרים צפרדעים|סנהדרין סז:
Exodus 8:15|מזה שהחרטומים לא יכלו לברוא כינים לומדים שאין השד יכול לברוא בריה פחות מכשעורה|סנהדרין סז:
Exodus 8:15|אצבע אלהים, מכאן שלקו מצרים באצבע, והיא האצבע שעתידה להפרע מסנחריב|סנהדרין צה:
